"EVENTMSGTYPE","EVENTMSGACTIONTYPE","DESCRIPTION"""
"1","1","Jump Shot"
"1","3","Hook Shot"
"1","5","Layup"
"1","40","Layup"
"1","41","Running Layup"
"1","42","Driving Layup"
"1","43","Alley Oop Layup"
"1","46","Running Jump Shot"
"1","47","Turnaround Jump Shot"
"1","49","Driving Dunk"
"1","50","Running Dunk"
"1","57","Driving Hook Shot"
"1","58","Turnaround Hook Shot"
"1","63","Fadeaway Jumper"
"1","66","Jump Bank Shot"
"1","72","Putback Layup"
"1","73","Driving Reverse Layup"
"1","76","Running Finger Roll Layup"
"1","78","Floating Jump Shot"
"1","79","Pullip Jump Shot"
"1","80","Step Back Jump Shot"
"1","82","Driving Bank Shot"
"1","86","Turnaround Fadeaway"
"1","97","Tip Layup Shot"
"1","98","Cutting Layup Shot"
"1","108","Cutting Dunk Shot"
"2","1","Jump Shot"
"2","3","Hook Shot"
"2","5","Layup"
"2","7","Dunk"
"2","41","Running Layup"
"2","42","Driving Layup"
"2","45",NA
"2","47","Turnaround Jump Shot"
"2","58","Turnaround Hook Shot"
"2","63","Fadeaway Jumper"
"2","78","Floating Jump Shot"
"2","79","Pullip Jump Shot"
"2","80","Step Back Jump Shot"
"2","86","Turnaround Fadeaway"
"2","97","Tip Layup Shot"
"3","10","Free Throw 1 of 1"
"3","11","Free Throw 1 of 2"
"3","12","Free Throw 2 of 2"
"3","13","Free Throw 1 of 3"
"3","14","Free Throw 2 of 3"
"3","15","Free Throw 3 of 3"
"4","0","Rebound Offensive"
"4","1","Rebound Defensive"
"5","1","Steal Bad Pass Turnover"
"5","2","Steal Lost Ball Turnover"
"5","5","Foul Turnover"
"5","39","Step Out of Bounds Turnover"
"5","45","Out of Bounds Bad Pass Turnover"
"6","1","Personal Foul"
"6","2","Shooting Foul"
"6","3","Loose Ball Foul"
"6","4","Offensive Foul"
"6","28","Personal Take Foul"
"7","5","Violation Kicked Ball"
"8","0","Substitution"
"9","1","Timeout Regular"
"9","2","Timeout Short"
"9","4",NA
"10","0","Jump Ball"
"12","0","Start of Period"
"13","0","End of Period"
"18","0",NA
"18","1",NA
